acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,label,timestamp
0.9368229,1.0723796,0.18903543,2.0173824,0.8536842,3.4093916,2.5632718,8.165009,4.795661,1,1683969696.4348276
0.9368229,1.0723796,0.18903543,1.5476271,1.0680978,2.6688702,2.8789797,8.1691475,4.6057177,1,1683969696.4863608
1.9087698,2.3423316,-0.63528097,0.8605564,0.20173825,0.7502952,3.1274395,8.172486,4.4346023,1,1683969696.491579
1.9767617,2.4382522,-0.77992356,0.29733866,-0.56321776,-0.63270366,3.1799738,8.190653,4.363149,1,1683969696.4967399
1.8283993,2.2617784,-0.6422936,-1.0749701,-0.9285152,-2.7394252,3.14874,8.241788,4.28888,1,1683969696.5018773
1.8283993,2.2617784,-0.6422936,-1.0749701,-0.9285152,-2.7394252,3.0477974,8.282645,4.2830873,1,1683969696.5070062
1.5063684,1.847364,-0.48277208,-1.0749701,-0.9285152,-2.7394252,3.0477974,8.282645,4.2830873,1,1683969696.5223758
1.5063684,1.847364,-0.48277208,-1.0749701,-0.9285152,-2.7394252,2.8833709,8.315976,4.332071,1,1683969696.5275028
1.1509818,1.3620307,-0.34556895,-1.0749701,-0.9285152,-2.7394252,2.8833709,8.315976,4.332071,1,1683969696.5428553
1.1509818,1.3620307,-0.34556895,-1.8978056,-0.63300914,-3.3542612,2.8833709,8.315976,4.332071,1,1683969696.547982
1.1509818,1.3620307,-0.34556895,-3.0117183,0.0071776668,-3.8272235,2.8833709,8.315976,4.332071,1,1683969696.5735636
1.1509818,1.3620307,-0.34556895,-3.0117183,0.0071776668,-3.8272235,2.532835,8.316705,4.5445876,1,1683969696.5786886
0.661441,0.76632524,-0.1507405,-3.0117183,0.0071776668,-3.8272235,2.532835,8.316705,4.5445876,1,1683969696.5939586
0.46899077,0.5470441,-0.04762473,-3.0117183,0.0071776668,-3.8272235,2.532835,8.316705,4.5445876,1,1683969696.6092856
0.46899077,0.5470441,-0.04762473,-3.631441,0.37614027,-3.9800925,2.532835,8.316705,4.5445876,1,1683969696.624671
0.46899077,0.5470441,-0.04762473,-3.631441,0.37614027,-3.9800925,2.3929002,8.296651,4.655719,1,1683969696.6297631
0.0001829375,-0.004268542,0.34331274,-3.631441,0.37614027,-3.9800925,2.3929002,8.296651,4.655719,1,1683969696.6502783
0.0001829375,-0.004268542,0.34331274,-3.631441,0.37614027,-3.9800925,2.086494,8.215961,4.937675,1,1683969696.6604886
0.0001829375,-0.004268542,0.34331274,-4.1969495,0.59849524,-4.069737,2.086494,8.215961,4.937675,1,1683969696.6656225
-0.43679374,-0.50094384,0.82486516,-4.1969495,0.59849524,-4.069737,2.086494,8.215961,4.937675,1,1683969696.6707458
-0.43679374,-0.50094384,0.82486516,-4.1969495,0.59849524,-4.069737,1.7529963,8.080147,5.2796164,1,1683969696.6758764
-0.43679374,-0.50094384,0.82486516,-4.158923,0.3680463,-3.74888,1.7529963,8.080147,5.2796164,1,1683969696.6810079
-1.1603116,-1.021889,1.5900928,-4.158923,0.3680463,-3.74888,1.7529963,8.080147,5.2796164,1,1683969696.7218616
-1.1603116,-1.021889,1.5900928,-4.158923,0.3680463,-3.74888,1.3107487,7.834772,5.7562485,1,1683969696.7270033
-1.1603116,-1.021889,1.5900928,-3.143207,0.050396383,-2.8716774,1.3107487,7.834772,5.7562485,1,1683969696.7321355
-1.1603116,-1.021889,1.5900928,-1.464244,-0.4364632,-1.4143058,1.3107487,7.834772,5.7562485,1,1683969696.7525969
-1.554542,-1.1984235,1.9785299,-1.464244,-0.4364632,-1.4143058,1.3107487,7.834772,5.7562485,1,1683969696.7628496
-1.554542,-1.1984235,1.9785299,-1.464244,-0.4364632,-1.4143058,1.0340875,7.638989,6.0673413,1,1683969696.767983
-1.554542,-1.1984235,1.9785299,-1.464244,-0.4364632,-1.4143058,0.98315424,7.582454,6.146211,1,1683969696.783328
-1.5846046,-1.159214,2.1167698,-1.464244,-0.4364632,-1.4143058,0.98315424,7.582454,6.146211,1,1683969696.7884228
-1.5846046,-1.159214,2.1167698,0.04886922,-0.70539665,-0.093004234,0.98315424,7.582454,6.146211,1,1683969696.798603
-1.460512,-1.030304,1.9718834,0.04886922,-0.70539665,-0.093004234,0.98315424,7.582454,6.146211,1,1683969696.824195
-1.460512,-1.030304,1.9718834,0.04886922,-0.70539665,-0.093004234,1.0305814,7.597776,6.1194615,1,1683969696.8293207
-1.460512,-1.030304,1.9718834,1.4877623,-0.70386946,1.141249,1.0305814,7.597776,6.1194615,1,1683969696.8395789
-1.460512,-1.030304,1.9718834,2.7591257,-0.44012842,2.5928175,1.0305814,7.597776,6.1194615,1,1683969696.8600545
-1.217388,-0.85285467,1.6648532,2.7591257,-0.44012842,2.5928175,1.0305814,7.597776,6.1194615,1,1683969696.8703074
-1.217388,-0.85285467,1.6648532,2.7591257,-0.44012842,2.5928175,1.1585008,7.6734033,6.001074,1,1683969696.8805592
-1.217388,-0.85285467,1.6648532,2.7591257,-0.44012842,2.5928175,1.3534977,7.7804914,5.8196316,1,1683969696.8959506
-1.217388,-0.85285467,1.6648532,3.287524,0.0664316,3.6106718,1.3534977,7.7804914,5.8196316,1,1683969696.901074
-0.658636,-0.52106696,1.2459264,3.287524,0.0664316,3.6106718,1.3534977,7.7804914,5.8196316,1,1683969696.9112952
0.05110054,0.04988096,0.77108157,3.287524,0.0664316,3.6106718,1.3534977,7.7804914,5.8196316,1,1683969696.9369125
0.05110054,0.04988096,0.77108157,3.287524,0.0664316,3.6106718,1.7333479,7.9374733,5.49801,1,1683969696.9471848
0.05110054,0.04988096,0.77108157,3.405421,0.9254609,4.510018,1.7333479,7.9374733,5.49801,1,1683969696.9523158
0.39337662,0.37599754,0.5426536,3.405421,0.9254609,4.510018,1.7333479,7.9374733,5.49801,1,1683969696.972833
0.39337662,0.37599754,0.5426536,3.1564934,1.3477215,4.6859474,1.7333479,7.9374733,5.49801,1,1683969696.9779623
0.39337662,0.37599754,0.5426536,3.1564934,1.3477215,4.6859474,1.8762394,7.979747,5.388829,1,1683969696.9882607
0.39337662,0.37599754,0.5426536,3.1564934,1.3477215,4.6859474,2.1623378,8.042431,5.184565,1,1683969696.9985492
1.1422617,1.1951307,0.018476687,3.1564934,1.3477215,4.6859474,2.1623378,8.042431,5.184565,1,1683969697.0036635
1.1422617,1.1951307,0.018476687,2.4817927,1.6226108,4.4160976,2.1623378,8.042431,5.184565,1,1683969697.0088012
1.1422617,1.1951307,0.018476687,1.5653422,1.7259997,3.5234706,2.1623378,8.042431,5.184565,1,1683969697.0395625
1.7136974,1.8104715,-0.28489465,1.5653422,1.7259997,3.5234706,2.1623378,8.042431,5.184565,1,1683969697.0446959
1.7136974,1.8104715,-0.28489465,1.5653422,1.7259997,3.5234706,2.528007,8.067237,4.976444,1,1683969697.05495
1.7136974,1.8104715,-0.28489465,1.5653422,1.7259997,3.5234706,2.6997445,8.056116,4.903721,1,1683969697.0754569
1.7136974,1.8104715,-0.28489465,0.75502944,1.3078625,2.1471913,2.6997445,8.056116,4.903721,1,1683969697.0908525
2.0789018,2.2940972,-0.5973519,0.75502944,1.3078625,2.1471913,2.6997445,8.056116,4.903721,1,1683969697.095946
2.1582355,2.51472,-0.66089225,0.75502944,1.3078625,2.1471913,2.6997445,8.056116,4.903721,1,1683969697.1111948
2.1582355,2.51472,-0.66089225,0.12904528,0.753655,0.81290895,2.6997445,8.056116,4.903721,1,1683969697.126569
2.1582355,2.51472,-0.66089225,0.12904528,0.753655,0.81290895,2.8041909,8.041204,4.8694606,1,1683969697.1317008
1.9742006,2.4476428,-0.48600397,0.12904528,0.753655,0.81290895,2.8041909,8.041204,4.8694606,1,1683969697.1368027
1.9742006,2.4476428,-0.48600397,0.12904528,0.753655,0.81290895,2.822978,8.029616,4.8777237,1,1683969697.1521447
1.9742006,2.4476428,-0.48600397,-0.56596667,0.16126843,-0.7666359,2.822978,8.029616,4.8777237,1,1683969697.167525
