acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,label,timestamp
-0.9914573,0.0044889767,-0.6672804,2.4159431,0.94314575,-4.6414948,-6.794724,7.066993,-0.24435109,0,1683807139.4305508
-1.1154501,-0.0018501864,-0.7270778,2.4159431,0.94314575,-4.6414948,-6.794724,7.066993,-0.24435109,0,1683807139.4461765
-1.1154501,-0.0018501864,-0.7270778,1.9525146,0.71310043,-4.3325424,-7.1151776,6.7319145,-0.4753576,0,1683807139.4774275
-1.5708538,-0.09898497,-0.75464857,1.1993599,0.9239197,-3.796749,-7.909715,5.7067337,-1.0197973,0,1683807139.4930515
-1.5708538,-0.09898497,-0.75464857,0.8839989,1.0666466,-3.439865,-7.909715,5.7067337,-1.0197973,0,1683807139.539928
-1.7800158,-0.1565834,-0.7985829,0.8839989,1.0666466,-3.439865,-7.909715,5.7067337,-1.0197973,0,1683807139.5555518
-1.7800158,-0.1565834,-0.7985829,2.218876,0.7972145,-4.482746,-7.909715,5.7067337,-1.0197973,0,1683807139.5871918
-1.8646997,-0.19197959,-0.83275074,0.7626343,1.0443497,-3.2267761,-8.194443,5.2420244,-1.2420433,0,1683807139.6340768
-2.078002,-0.2583588,-0.8410462,0.7626343,1.0443497,-3.2267761,-8.194443,5.2420244,-1.2420433,0,1683807139.6495109
-2.2630055,-0.3257238,-0.814446,0.4356575,-0.028438568,-1.78442,-8.408833,4.8456945,-1.4075385,0,1683807139.6721764
-2.4416547,-0.3838075,-0.76173085,0.23324966,-0.6110954,-0.66690445,-8.706771,4.269575,-1.4605625,0,1683807139.7503023
-1.1508311,-0.2583588,-0.51571673,-2.6952553,-0.7655716,6.1837196,-6.8408256,7.0257993,0.107905075,0,1683807139.7659264
-0.8816442,-0.2422531,-0.37197846,-2.6952553,-0.7655716,6.1837196,-6.8408256,7.0257993,0.107905075,0,1683807139.7815511
-0.8816442,-0.2422531,-0.37197846,-2.6952553,-0.7655716,6.1837196,-6.62836,7.2239094,0.22443178,0,1683807139.797176
-0.5531299,-0.2273606,-0.0910686,-3.22464,-0.42043686,6.69508,-5.6571617,7.9754176,0.7480824,0,1683807139.8634899
-0.33373117,-0.15951033,0.090022184,-3.22464,-0.42043686,6.69508,-5.6571617,7.9754176,0.7480824,0,1683807139.9416149
0.10606725,-0.0516384,0.33724955,-3.1437302,-0.03791809,7.03701,-1.9922533,9.259974,2.5405126,0,1683807139.9884906
0.21051179,-0.04138655,0.43464217,-3.1437302,-0.03791809,7.03701,-1.9922533,9.259974,2.5405126,0,1683807140.0041146
1.348801,0.509696,1.5082507,1.1567688,-2.803402,-2.6355743,3.4622204,7.334541,5.512526,0,1683807140.0199049
0.7899083,0.34446833,1.1995122,1.4103127,-1.362114,-2.1455765,3.3410552,7.683707,5.123086,0,1683807140.035446
1.3175602,0.74081767,0.9085932,1.2898827,-0.12216568,-2.2626686,2.8544986,8.128512,4.685029,0,1683807140.0510793
1.3175602,0.74081767,0.9085932,1.2898827,-0.12216568,-2.2626686,2.4293659,8.390758,4.4568763,0,1683807140.0667026
1.2633892,0.74984115,0.9596098,1.5924263,-0.061416626,-3.2875252,2.4293659,8.390758,4.4568763,0,1683807140.0667026
1.0903512,0.6700405,0.9903502,1.8641281,-0.03364563,-3.8062286,2.1411755,8.542376,4.314346,0,1683807140.0823286
-0.7388613,0.12872444,-0.35928497,2.2178078,1.3980293,-4.6883583,-5.457406,8.147429,-0.0805611,0,1683807140.097954
-0.8901823,0.2217039,-0.52645385,1.4432907,1.1678505,-3.6613655,-5.9933248,7.7490497,-0.4501952,0,1683807140.129202
-1.1554718,0.14945564,-0.5372062,0.55488586,1.7943001,-3.0051422,-7.1367054,6.5946326,-1.3223674,0,1683807140.160217
-1.3458287,0.07722253,-0.58625126,0.45581818,1.8167305,-2.6430511,-7.4640656,6.1373587,-1.670612,0,1683807140.1798766
-1.4012281,0.050379667,-0.6172495,0.45581818,1.8167305,-2.6430511,-7.4640656,6.1373587,-1.670612,0,1683807140.2267537
-1.5296037,0.021337805,-0.63799584,0.41215897,1.3745308,-2.1593285,-7.707318,5.732075,-1.9776136,0,1683807140.242378
-1.658222,-0.009903047,-0.6418934,0.51229477,0.903759,-1.8909645,-7.9948354,5.1999965,-2.2832081,0,1683807140.2892525
-1.658222,-0.009903047,-0.6418934,0.65288544,0.42430878,-1.5948296,-7.9948354,5.1999965,-2.2832081,0,1683807140.304879
-1.8815334,-0.10215455,-0.7087731,0.68159103,0.2762413,-1.459446,-8.036296,5.1209264,-2.3161263,0,1683807140.320504
-2.0489602,-0.17293178,-0.7802782,0.73072433,-0.07423401,-0.9705162,-8.036296,5.1209264,-2.3161263,0,1683807140.3358343
-2.1385274,-0.18611056,-0.8490991,0.67424774,-0.15514374,-0.61042786,-8.1936455,4.8159156,-2.4169264,0,1683807140.3701043
-2.1905146,-0.21613817,-0.8886506,0.67424774,-0.15514374,-0.61042786,-8.1936455,4.8159156,-2.4169264,0,1683807140.4326062
-1.8539627,-0.118760735,-0.70461774,-0.5615616,-0.72618484,2.1037865,-8.103747,5.04117,-2.2552726,0,1683807140.448231
-1.8539627,-0.118760735,-0.70461774,-0.7787895,-0.96797943,3.1733704,-8.103747,5.04117,-2.2552726,0,1683807140.620106
-1.8539627,-0.118760735,-0.70461774,-0.76597214,-1.0201836,3.3342552,-7.582194,5.9401,-1.842808,0,1683807140.6357305
-1.2352724,0.04866597,-0.57014555,-0.7905388,-1.1746597,3.9637756,-7.277506,6.36083,-1.657751,0,1683807140.6694326
-1.2352724,0.04866597,-0.57014555,-0.861969,-1.2523651,4.2577744,-7.035989,6.658586,-1.5259328,0,1683807140.7339556
-1.1213039,0.06941232,-0.59967273,-0.861969,-1.2523651,4.2577744,-7.035989,6.658586,-1.5259328,0,1683807140.7652068
-0.80792487,0.06697068,-0.47252548,-2.0144653,-0.5227089,5.6192207,-5.269678,8.23765,-0.73620623,0,1683807140.7808316
-0.612442,0.074538246,-0.394666,-2.0144653,-0.5227089,5.6192207,-5.269678,8.23765,-0.73620623,0,1683807140.7964573
-0.612442,0.074538246,-0.394666,-2.2264862,-0.36823273,5.817356,-5.269678,8.23765,-0.73620623,0,1683807140.8120825
-0.48870704,0.116273604,-0.29508957,-2.2264862,-0.36823273,5.817356,-5.269678,8.23765,-0.73620623,0,1683807140.8277082
-0.48870704,0.116273604,-0.29508957,-2.2264862,-0.36823273,5.817356,-4.289388,8.812608,-0.3308762,0,1683807140.8433318
-0.48870704,0.116273604,-0.29508957,-2.5525284,-0.027370453,6.0878563,-3.7541711,9.058965,-0.108376615,0,1683807140.8590057
-0.27149212,0.108463384,-0.18112113,-2.5525284,-0.027370453,6.0878563,-3.7541711,9.058965,-0.108376615,0,1683807140.8740132
-0.21756372,0.116030954,-0.16208847,-2.6174164,0.0068092346,6.1400604,-3.4776413,9.169314,0.008180492,0,1683807140.920898
-0.015483937,0.110419735,-0.036882404,-2.7590752,-0.010280609,6.2615585,-2.314634,9.515649,0.51505786,0,1683807140.9365234
-0.015483937,0.110419735,-0.036882404,-2.794323,-0.01455307,6.3030815,-2.314634,9.515649,0.51505786,0,1683807140.9677727
-0.015483937,0.110419735,-0.036882404,-2.939186,0.08771896,6.442604,-1.3899951,9.663063,0.92926663,0,1683807140.9833984
0.19880405,0.13433567,0.04755889,-3.3801842,0.97185135,6.561966,-1.3899951,9.663063,0.92926663,0,1683807141.0146477
0.19880405,0.13433567,0.04755889,-3.7008858,1.5812111,6.571579,0.49177396,9.606956,1.9065537,0,1683807141.0302746
0.36280337,0.1665471,0.26525912,-3.7008858,1.5812111,6.571579,0.49177396,9.606956,1.9065537,0,1683807141.0302746
0.36280337,0.1665471,0.26525912,-4.0065002,2.0861626,6.5384674,0.49177396,9.606956,1.9065537,0,1683807141.0458972
1.3485584,0.2426929,0.7609422,-4.1780663,2.2310257,5.6489944,3.0867567,8.368464,4.0756774,0,1683807141.0615227
1.600669,0.40767795,0.9693612,-4.0278625,1.6164589,4.938431,3.459049,8.010761,4.47583,0,1683807141.0927713
1.600669,0.40767795,0.9693612,-4.0278625,1.6164589,4.938431,3.7689118,7.661642,4.823373,0,1683807141.1083972
1.8039621,0.5294566,1.4789511,-4.0278625,1.6164589,4.938431,3.7689118,7.661642,4.823373,0,1683807141.124022
1.8039621,0.5294566,1.4789511,-3.1777763,0.59907913,3.0976677,4.011286,7.3461475,5.110194,0,1683807141.139647
1.8039621,0.5294566,1.4789511,-2.8752327,0.47010422,2.640648,4.011286,7.3461475,5.110194,0,1683807141.1747332
1.8039621,0.5294566,1.4789511,-2.8752327,0.47010422,2.640648,4.48929,6.889945,5.3427825,0,1683807141.190359
1.4293449,0.40035304,1.3806031,1.0992241,-1.1607742,-1.7343521,4.48929,6.889945,5.3427825,0,1683807141.190359
1.4293449,0.40035304,1.3806031,1.0992241,-1.1607742,-1.7343521,4.5210547,6.7792616,5.4563794,0,1683807141.2059844
1.3690622,0.3996251,1.3615704,1.210041,-1.0116386,-1.8366241,4.521619,6.7009997,5.551753,0,1683807141.2372324
1.3690622,0.3996251,1.3615704,1.210041,-1.0116386,-1.8366241,4.4602227,6.9537773,5.284106,0,1683807141.2528617
1.2360458,0.419871,1.2563827,1.4252663,-0.30534744,-2.0091248,4.3187585,7.162093,5.1208534,0,1683807141.2684836
1.1530756,0.48772126,0.9671622,1.6234016,0.6183052,-2.5491905,4.0016017,7.4648542,4.9430275,0,1683807141.330984
1.1530756,0.48772126,0.9671622,1.6234016,0.6183052,-2.5491905,2.7593112,8.393605,4.2548776,0,1683807141.3466077
0.82407606,0.52067584,0.9288542,2.4872398,-0.16796112,-3.9170456,2.7593112,8.393605,4.2548776,0,1683807141.3466077
0.82407606,0.52067584,0.9288542,2.4872398,-0.16796112,-3.9170456,3.5754373,7.802465,4.7442775,0,1683807141.3778577
0.5519622,0.47161555,0.63036764,3.253212,0.19533157,-4.2984962,1.7014405,8.996165,3.5134747,0,1683807141.4118946
0.46726307,0.46112105,0.43464217,3.253212,0.19533157,-4.2984962,1.3046689,9.171833,3.2164733,0,1683807141.4431458
0.46726307,0.46112105,0.43464217,3.4331894,0.29546738,-4.4091797,1.3046689,9.171833,3.2164733,0,1683807141.474396
0.46726307,0.46112105,0.43464217,3.5163689,0.27090073,-4.542427,0.88718796,9.326607,2.8978758,0,1683807141.5212703
0.0033212362,0.338114,0.11443858,2.947464,-0.044326782,-5.363674,-1.9210756,9.553212,1.1027249,0,1683807141.5525217
0.0033212362,0.338114,0.11443858,2.947464,-0.044326782,-5.363674,-2.9462276,9.3381815,0.5371094,0,1683807141.568146
0.0033212362,0.338114,0.11443858,3.081646,-0.0017356873,-5.517082,-2.9462276,9.3381815,0.5371094,0,1683807141.5837703
-0.2304847,0.21706326,-0.06152628,3.081646,-0.0017356873,-5.517082,-2.9462276,9.3381815,0.5371094,0,1683807141.6150212
-0.2304847,0.21706326,-0.06152628,3.081646,-0.0017356873,-5.517082,-2.1758091,9.51356,0.96354014,0,1683807141.6654713
-0.2304847,0.21706326,-0.06152628,3.1168938,0.04299164,-5.5799675,-2.1758091,9.51356,0.96354014,0,1683807141.6821244
-0.2304847,0.21706326,-0.06152628,3.1168938,0.04299164,-5.5799675,-3.464726,9.170895,0.24649543,0,1683807141.69775
-0.33421648,0.14971344,-0.14451168,3.031578,0.114421844,-5.5714226,-3.974959,8.964859,-0.037304033,0,1683807141.7290025
-0.44600108,0.13385037,-0.16428745,2.8761673,0.25287628,-5.506401,-4.4691563,8.723672,-0.30751666,0,1683807141.7446315
-0.44600108,0.13385037,-0.16428745,2.8026009,0.36369324,-5.464878,-4.4691563,8.723672,-0.30751666,0,1683807141.7915025
-0.44600108,0.13385037,-0.16428745,2.8026009,0.36369324,-5.464878,-4.7083316,8.591245,-0.43877012,0,1683807141.8227522
-0.44600108,0.13385037,-0.16428745,2.8026009,0.36369324,-5.464878,-5.8025923,7.833857,-1.0634841,0,1683807141.8540008
-0.9982969,0.03500189,-0.5074212,2.474556,0.18571854,-4.748974,-5.8025923,7.833857,-1.0634841,0,1683807141.8540008
-0.9982969,0.03500189,-0.5074212,2.2753525,0.08665085,-4.4262695,-5.8025923,7.833857,-1.0634841,0,1683807141.869632
-1.1337548,0.015969232,-0.5769852,2.2753525,0.08665085,-4.4262695,-6.1824684,7.5041223,-1.2789162,0,1683807141.8852515
-1.1337548,0.015969232,-0.5769852,2.2753525,0.08665085,-4.4262695,-6.5257115,7.171563,-1.4677008,0,1683807141.9165027
-1.1720628,0.017425116,-0.6013864,2.2753525,0.08665085,-4.4262695,-6.5257115,7.171563,-1.4677008,0,1683807141.9325883
-1.1720628,0.017425116,-0.6013864,2.2753525,0.08665085,-4.4262695,-6.6828375,7.0073433,-1.5515183,0,1683807141.9688697
-1.1720628,0.017425116,-0.6013864,2.2753525,0.08665085,-4.4262695,-7.0938697,6.536636,-1.7662944,0,1683807141.9844966
-1.2577325,0.046709623,-0.5628207,2.2753525,0.08665085,-4.4262695,-7.0938697,6.536636,-1.7662944,0,1683807142.0001214
-1.2577325,0.046709623,-0.5628207,1.6159248,0.2687645,-3.7317276,-7.0938697,6.536636,-1.7662944,0,1683807142.015747
-1.2577325,0.046709623,-0.5628207,2.131424,0.071697235,-4.244156,-7.0938697,6.536636,-1.7662944,0,1683807142.0313704
-1.4622539,0.00034880562,-0.5791842,0.9980202,0.95062256,-3.1724358,-7.514574,5.9623804,-2.0375426,0,1683807142.0469947
-1.6172297,-0.059448615,-0.63434094,0.73379517,1.232872,-2.6973915,-7.675926,5.7003803,-2.1808736,0,1683807142.0782497
-1.6172297,-0.059448615,-0.63434094,0.73379517,1.232872,-2.6973915,-7.8076544,5.4597683,-2.3241892,0,1683807142.0938706
-1.7634096,-0.11192112,-0.6980359,0.73379517,1.232872,-2.6973915,-7.8076544,5.4597683,-2.3241892,0,1683807142.1251194
-1.975984,-0.18661101,-0.7922438,0.5591583,0.7886696,-1.7183304,-8.00097,5.058409,-2.5626879,0,1683807142.1407459
-2.0443194,-0.1980761,-0.83811927,0.5591583,0.7886696,-1.7183304,-8.00097,5.058409,-2.5626879,0,1683807142.1561573
-2.0443194,-0.1980761,-0.83811927,0.40361404,0.22937775,-0.8213806,-8.069193,4.9066377,-2.6426144,0,1683807142.1758218
-2.0443194,-0.1980761,-0.83811927,0.21402359,0.06649017,-0.38358688,-8.139332,4.7490296,-2.7144783,0,1683807142.2070694
-2.0699492,-0.22223468,-0.89596033,0.21402359,0.06649017,-0.38358688,-8.139332,4.7490296,-2.7144783,0,1683807142.2070694
-2.012836,-0.18685366,-0.88229626,0.21402359,0.06649017,-0.38358688,-8.139332,4.7490296,-2.7144783,0,1683807142.2226934
-2.012836,-0.18685366,-0.88229626,0.21402359,0.06649017,-0.38358688,-8.168308,4.683062,-2.7419052,0,1683807142.2383196
-2.012836,-0.18685366,-0.88229626,-0.04699707,0.05367279,0.01909256,-8.168308,4.683062,-2.7419052,0,1683807142.269568
-1.9686742,-0.13974974,-0.7690558,-0.46663284,0.020694733,0.76049805,-8.145208,4.729575,-2.7307684,0,1683807142.2851946
-1.938404,-0.13291012,-0.7344027,-0.58813095,-0.09973526,1.1323357,-8.109561,4.8045926,-2.705789,0,1683807142.3320668
-1.7724483,-0.06653088,-0.6235887,-0.58813095,-0.09973526,1.1323357,-7.9939847,5.05505,-2.5909579,0,1683807142.3633194
-1.8729953,-0.106795184,-0.6819302,-0.62965393,-0.20521164,1.3294029,-7.9093556,5.22681,-2.5085719,0,1683807142.4258187
-1.5503501,-0.022353891,-0.54574436,-0.8288574,-0.7803917,2.9784393,-7.671855,5.651252,-2.3187017,0,1683807142.4414496
-1.4471188,0.004003682,-0.53573513,-0.8288574,-0.7803917,2.9784393,-7.671855,5.651252,-2.3187017,0,1683807142.4822514
-1.3482703,0.033288192,-0.5274396,-0.86610794,-0.8794594,3.2968712,-7.516081,5.898488,-2.2106009,0,1683807142.5135014
-0.94289744,0.09187237,-0.5489139,-1.1185837,-0.9743881,4.112911,-6.8898253,6.733441,-1.8334306,0,1683807142.544751
-0.94289744,0.09187237,-0.5489139,-1.3241959,-0.7942772,4.356842,-6.6191406,7.0334945,-1.6992102,0,1683807142.560374
-0.85381556,0.11260356,-0.52768224,-1.5586472,-0.6877327,4.5731354,-5.9821596,7.6440644,-1.3972942,0,1683807142.5916245
-0.64344025,0.15946484,-0.39052582,-1.9239426,-0.5396652,4.896908,-5.619455,7.9428735,-1.2259245,0,1683807142.6072493
-0.5499603,0.17728426,-0.36148396,-1.9239426,-0.5396652,4.896908,-5.619455,7.9428735,-1.2259245,0,1683807142.622872
-0.5499603,0.17728426,-0.36148396,-1.9239426,-0.5396652,4.896908,-5.2303996,8.229513,-1.043268,0,1683807142.638499
